CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DEPRESSION,DIABETES,OBESITY,TEETHLOST,STROKE
51685,21.5,8.3,31.3,5.6,29.3,2.8,5.2,5.1,16.2,12.1,33.6,13.1,2.9
54021,32.2,10.1,40.6,6.6,32.4,3.1,9.1,7.9,25.0,13.1,42.7,23.7,3.6
31159,22.2,8.2,27.9,6.7,26.3,2.3,5.2,5.1,15.3,8.3,35.2,11.2,2.6
21131,35.4,11.5,43.3,7.0,34.3,3.7,14.1,9.5,29.6,14.4,40.7,32.6,4.8
21229,30.9,9.9,37.3,6.9,32.5,2.9,9.2,6.8,25.3,11.5,39.0,22.7,3.5
26017,27.8,10.9,30.8,6.8,30.7,2.8,8.1,6.1,25.0,9.9,36.2,13.4,3.1
38015,20.8,8.2,27.6,6.7,27.6,2.3,4.9,5.0,17.6,7.6,32.3,9.0,2.5
27037,18.2,8.3,25.4,6.4,25.3,2.3,3.9,4.4,19.8,7.7,30.6,7.5,2.4
56009,22.0,9.1,28.2,6.5,27.3,2.5,6.4,5.4,18.6,8.3,29.2,16.0,2.8
1099,32.9,10.9,43.4,6.3,31.8,3.7,9.7,7.5,23.6,15.1,41.1,25.1,4.9
47029,30.3,10.9,38.2,6.7,33.2,3.3,11.5,7.7,30.2,13.2,38.9,25.8,4.0
48473,21.9,8.7,34.3,5.9,31.0,3.2,6.6,6.1,19.4,13.0,38.7,18.0,3.5
48461,19.9,8.1,32.3,5.5,31.4,3.2,6.0,5.9,18.9,13.7,37.7,17.7,3.2
13161,27.9,10.3,38.4,6.4,31.7,3.9,10.6,8.3,23.1,14.7,39.2,25.2,4.6
39025,25.1,9.9,31.0,6.7,27.7,2.6,7.8,5.8,22.3,9.6,36.1,15.7,3.0
21199,32.2,10.6,39.2,7.0,33.5,3.2,10.9,7.9,27.5,12.1,37.0,26.4,3.9
12033,25.2,9.3,33.5,6.6,28.4,3.0,7.9,5.9,20.6,11.6,30.6,16.3,3.5
48367,21.7,8.5,30.9,6.5,30.9,2.6,6.2,5.4,21.7,9.5,33.4,12.9,2.9
40071,25.1,10.7,36.3,6.6,32.9,3.1,8.4,7.0,24.4,11.1,35.9,20.5,3.6
33003,23.8,10.2,26.3,6.7,27.4,2.3,6.0,5.3,22.2,7.4,28.9,13.0,2.6
21195,34.9,10.7,41.5,7.0,33.9,3.3,12.2,8.3,28.9,12.9,41.5,28.8,4.2
6101,20.2,9.1,28.0,5.7,28.3,3.1,5.9,5.6,17.8,11.2,29.1,15.1,3.2
47059,28.4,10.4,37.4,6.8,32.1,3.0,10.0,7.1,28.4,12.2,36.2,21.3,3.7
37015,27.7,10.9,40.7,6.1,30.5,3.8,8.8,7.1,21.4,15.2,42.4,25.7,5.0
20063,24.1,9.6,30.9,6.6,29.3,2.6,6.6,5.6,19.9,9.3,34.5,15.0,2.9
48069,19.5,7.9,32.3,5.3,31.4,3.2,5.7,5.9,18.3,14.2,38.9,17.5,3.2
19031,21.8,8.1,29.0,6.6,27.3,2.3,5.2,5.1,15.6,8.1,35.8,10.3,2.6
5141,28.3,10.2,36.7,6.7,34.8,3.2,9.9,7.6,27.4,11.4,39.1,22.9,3.8
46129,22.6,8.9,27.8,6.6,26.4,2.5,5.3,5.3,16.2,8.3,31.5,14.7,2.9
26055,25.9,10.1,28.6,7.0,28.8,2.5,6.6,5.3,25.2,8.4,32.0,10.4,2.7
18015,23.7,9.8,31.9,6.7,29.2,2.7,8.0,6.1,22.9,10.6,36.0,17.7,3.1
55087,23.1,9.1,26.9,6.6,27.9,2.4,5.0,4.8,18.8,7.4,33.6,10.2,2.6
28127,27.9,10.8,41.0,6.3,32.5,3.3,8.0,6.6,22.6,12.5,41.4,25.3,4.2
47093,25.1,9.4,34.7,6.8,31.0,2.7,7.5,5.7,27.5,10.9,33.9,15.8,3.1
20119,22.3,9.5,30.3,6.3,29.9,2.7,6.2,5.5,18.9,10.4,35.8,17.7,2.9
30081,25.6,9.9,25.4,6.7,27.0,2.6,6.2,5.7,23.6,7.5,28.9,15.5,2.9
25015,21.8,10.0,24.8,6.6,23.5,2.4,5.4,5.1,21.9,7.4,25.1,10.9,2.6
48101,24.4,9.7,37.4,6.1,32.4,3.8,8.9,7.5,22.2,14.9,40.4,22.9,4.3
40035,27.0,11.1,38.6,6.7,31.1,3.4,9.8,7.9,24.8,12.5,39.2,24.1,4.2
45085,26.2,10.4,39.7,6.2,30.7,3.4,7.6,6.6,19.7,13.5,39.8,21.8,4.3
45007,28.1,9.9,35.8,6.6,31.4,2.9,7.7,6.3,23.8,11.2,37.4,17.1,3.5
27085,20.5,8.8,25.8,6.5,26.4,2.5,5.3,5.4,20.5,8.3,35.6,11.5,2.8
12063,25.8,9.6,37.9,6.3,29.3,3.4,10.3,7.4,20.6,12.6,39.4,23.9,4.3
31043,19.5,7.7,30.5,5.8,28.6,2.9,5.7,5.9,12.7,13.3,42.7,18.0,3.1
13311,24.3,9.1,31.2,6.7,30.7,2.7,7.4,6.0,22.5,9.6,30.3,16.0,3.1
2188,27.6,12.3,38.0,6.6,28.2,4.3,10.5,9.4,19.8,15.0,39.1,33.5,5.9
5097,27.9,10.2,36.6,6.7,33.4,3.2,9.8,7.6,26.7,11.3,37.1,23.8,3.8
17155,24.0,8.9,28.9,6.6,28.4,2.4,6.2,5.3,21.7,8.8,34.5,12.8,2.7
47165,25.1,9.4,33.1,6.6,30.3,2.6,7.4,5.7,25.7,10.3,33.6,15.3,3.0
18135,25.2,10.2,33.3,6.7,29.9,2.8,8.8,6.4,23.3,10.7,36.9,19.5,3.4
20183,24.0,9.5,30.8,6.6,28.8,2.6,6.4,5.5,20.2,9.2,35.6,15.8,2.9
17019,24.7,9.2,30.3,6.3,27.9,2.8,6.1,5.5,20.0,10.1,36.1,12.0,3.0
24003,23.2,8.6,31.0,6.6,29.3,2.4,5.2,4.8,17.6,9.6,31.6,9.1,2.6
45061,27.9,11.1,43.8,6.0,31.3,3.9,8.7,7.4,18.9,16.0,41.6,25.0,5.1
39073,28.0,10.5,31.7,6.8,28.3,2.8,9.7,6.9,23.8,10.7,37.1,18.1,3.4
45091,23.3,8.9,33.7,6.4,31.4,2.6,6.0,5.5,18.9,9.7,36.8,13.0,3.0
44001,24.2,10.1,27.7,6.7,26.6,2.3,5.8,4.8,22.0,7.7,26.8,10.2,2.4
55107,26.7,10.1,30.2,6.6,28.7,2.8,6.6,6.0,21.7,8.6,37.7,16.2,3.1
47187,22.3,8.2,30.1,6.6,28.4,2.2,5.1,4.5,22.2,8.4,28.5,8.7,2.3
6003,22.1,9.9,28.7,6.4,27.5,3.1,6.6,6.1,19.1,9.9,29.9,15.4,3.4
24035,23.5,8.5,30.6,6.9,27.7,2.3,5.5,4.8,17.4,8.3,31.4,10.6,2.5
48397,19.4,7.8,28.6,6.3,30.2,2.4,4.8,4.5,19.1,9.0,30.9,10.0,2.5
39153,25.9,10.4,30.7,6.7,25.4,2.7,7.7,5.7,19.9,10.2,34.4,15.1,3.2
20025,22.5,9.2,30.8,6.5,29.1,2.6,5.9,5.3,19.6,9.5,35.5,14.3,2.8
13039,24.3,9.2,32.8,6.4,29.8,3.0,7.1,6.1,20.4,11.5,35.1,14.9,3.4
48313,22.0,8.5,35.2,6.1,31.5,3.1,7.0,6.2,19.0,12.5,38.0,18.7,3.6
5123,28.0,10.5,43.1,6.0,32.9,3.9,9.4,8.0,21.8,15.2,42.4,26.8,5.0
19085,23.3,8.5,30.0,6.5,29.1,2.5,6.0,5.6,17.2,9.0,37.9,13.3,2.9
5005,26.2,9.7,32.6,6.7,31.4,2.8,8.3,6.6,25.0,9.6,32.0,19.9,3.3
17173,25.3,9.4,30.5,6.7,29.1,2.6,7.2,5.8,22.9,9.3,35.8,14.7,3.0
48031,21.3,8.2,31.0,6.3,31.4,2.7,6.0,5.5,20.4,10.4,34.6,13.0,2.9
36051,23.7,10.4,28.3,6.6,28.3,2.6,7.2,5.5,21.0,8.5,32.1,15.9,2.9
28015,27.0,10.3,40.6,6.3,33.8,3.3,8.2,6.7,22.5,12.8,41.0,20.5,4.2
26103,28.1,10.7,31.2,6.9,31.9,2.7,7.4,5.9,24.6,9.1,35.7,11.9,3.0
47101,29.1,10.5,37.2,6.7,32.3,3.1,10.6,7.2,29.2,12.3,37.7,22.6,3.8
6067,20.2,9.8,26.7,5.9,26.5,2.9,5.2,5.0,17.7,10.3,27.8,12.5,3.0
40041,26.8,11.4,37.9,6.7,30.1,3.3,9.6,7.9,25.0,12.1,39.5,24.4,4.1
48239,20.7,8.4,34.0,6.0,31.6,3.0,6.3,5.8,19.8,12.1,37.9,15.5,3.2
41043,24.6,11.1,29.2,6.6,24.2,2.8,6.5,5.8,27.0,9.3,35.0,15.4,3.2
39083,26.9,10.3,30.7,6.8,26.1,2.7,8.5,6.2,22.5,10.3,36.8,17.3,3.1
8059,21.1,9.7,21.6,6.5,25.5,2.2,4.1,4.0,16.1,6.2,24.5,9.3,2.2
41013,25.1,10.7,29.7,6.6,26.5,2.8,6.5,6.0,26.4,8.7,30.6,17.4,3.2
46045,22.0,8.3,25.9,6.6,24.8,2.4,4.9,5.0,16.0,7.4,33.8,13.3,2.6
48203,24.1,9.4,36.4,6.3,31.1,3.2,7.5,6.3,21.7,12.3,36.5,17.6,3.8
46107,21.5,8.5,26.5,6.6,25.8,2.4,5.0,5.0,16.5,7.7,31.3,12.9,2.7
37009,25.5,9.3,31.5,6.7,30.7,2.8,7.9,6.3,25.0,10.0,34.0,17.8,3.3
47131,28.0,10.6,37.5,6.6,32.2,3.3,10.5,7.3,28.6,13.0,35.9,22.3,4.0
53069,24.8,10.4,29.1,6.8,29.0,2.6,6.0,5.4,26.0,8.7,34.6,13.0,3.0
18175,24.3,10.4,33.1,6.7,30.1,2.8,8.9,6.4,24.8,10.4,33.5,20.2,3.3
54093,32.5,10.9,36.3,6.8,31.3,2.7,8.9,7.2,29.0,10.9,40.0,21.5,3.2
48229,21.5,8.8,36.7,5.0,33.0,4.3,7.6,7.8,19.2,18.8,43.5,23.2,4.2
46123,23.9,9.3,29.4,6.7,26.4,3.0,6.5,6.2,16.7,9.5,35.2,17.8,3.4
22009,26.7,10.3,40.2,6.4,34.0,3.6,9.6,7.7,25.8,13.3,42.8,24.5,4.5
29183,22.6,9.2,25.2,6.8,29.1,2.2,5.7,4.9,22.4,7.9,31.7,11.3,2.5
35021,21.4,8.6,28.9,5.4,27.3,3.3,5.2,5.7,17.0,11.7,32.8,15.4,3.0
21037,29.5,9.4,35.4,6.9,32.4,2.6,7.6,6.1,25.0,9.9,36.0,16.6,3.0
13067,20.1,8.4,30.7,6.1,27.8,2.7,5.1,5.0,16.3,10.0,30.6,11.3,2.9
48503,22.5,8.7,32.9,6.4,31.7,2.9,7.3,6.1,21.9,11.3,35.7,17.2,3.3
