CountyFIPS,MHLTH,PHLTH,GHLTH
54007,22.4,19.1,27.9
13291,17.5,14.0,18.8
48189,14.2,14.3,27.5
20131,14.3,10.6,15.3
48279,15.7,16.2,30.6
23017,16.8,14.1,18.2
18153,16.8,14.7,21.4
19011,13.0,10.0,13.5
16071,15.4,13.4,17.2
45045,13.4,11.5,16.8
38013,11.6,10.0,14.5
46125,11.8,9.8,14.2
48013,14.0,14.0,27.2
17135,16.0,13.6,19.5
18043,15.2,12.6,18.0
20001,16.1,12.6,18.9
31157,12.7,11.5,18.3
20077,16.0,12.7,19.6
51187,15.3,12.3,18.1
39157,17.9,14.8,20.7
41055,16.2,13.1,19.0
40027,14.6,12.0,17.7
20037,15.4,12.5,18.5
26095,17.5,14.8,20.8
37033,16.0,14.0,22.8
8107,12.1,9.4,11.9
51690,17.0,15.3,25.0
22045,19.3,15.8,25.7
48413,13.4,12.8,24.0
30101,15.7,13.4,17.9
13053,16.5,14.8,22.4
38023,12.6,11.2,16.4
20155,15.1,12.1,18.2
18107,16.1,13.9,20.2
31147,13.3,11.6,16.2
29055,19.1,16.7,24.3
26041,17.7,13.9,17.8
17047,15.8,12.5,17.1
33001,15.0,11.2,14.3
46103,12.1,10.2,15.0
56023,13.5,10.9,15.3
13079,19.2,16.3,23.9
48309,15.2,13.9,23.8
40091,19.1,17.1,25.7
13257,17.9,14.6,20.9
22067,20.5,17.6,29.4
32015,15.6,14.1,20.9
42097,16.9,14.3,20.9
13089,14.5,12.2,19.1
46061,11.7,9.4,13.4
51177,13.6,11.1,17.3
31053,13.0,11.4,17.3
31089,12.1,10.2,14.9
37139,15.5,13.3,21.2
48067,17.4,15.0,23.8
21221,17.1,14.6,21.0
