density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
1.9,2067,6.5,18.3,17.5,19.3,32.4,6.5-7
420.5,353316,6.5,16.9,9.8,12.9,26.9,6.5-7
32.8,55196,6.1,18.0,12.1,17.0,26.5,6-6.5
14.5,26896,6.5,18.5,14.1,16.9,29.6,6.5-7
340.8,724738,6.3,16.3,14.2,19.7,31.3,6-6.5
31.3,48031,6.3,17.7,18.6,23.4,34.8,6-6.5
20.4,60213,6.2,16.6,14.5,19.4,31.9,6-6.5
42.0,6293,6.5,19.3,13.2,16.1,28.9,6.5-7
8.5,15783,6.5,19.2,15.6,18.4,31.1,6.5-7
5.4,17600,6.5,18.6,13.6,17.1,29.5,6.5-7
0.7,828,6.6,18.9,14.3,17.1,29.9,6.5-7
4.4,6969,5.8,16.6,15.2,23.6,32.3,5.5-6
0.9,1397,6.5,18.2,17.2,20.9,32.5,6.5-7
765.1,584699,6.5,18.2,13.5,14.8,29.7,6.5-7
0.8,1414,6.6,17.4,18.6,21.5,32.5,6.5-7
3.3,7078,6.4,17.3,17.7,22.2,33.0,6-6.5
21.7,8165,5.9,16.6,16.0,23.0,31.8,5.5-6
33.4,56432,6.5,18.5,14.2,16.6,29.6,6.5-7
138.4,359303,6.6,18.4,13.9,15.8,27.2,6.5-7
3.1,14578,5.7,15.6,15.8,25.0,32.8,5.5-6
2.2,5742,6.3,18.1,19.2,24.1,32.8,6-6.5
12.1,22227,6.3,18.6,18.5,23.1,34.1,6-6.5
46.6,155037,6.4,18.7,17.9,20.9,32.5,6-6.5
0.9,775,6.6,18.9,13.4,16.5,29.4,6.5-7
2.8,13290,6.4,17.4,18.7,23.5,32.0,6-6.5
13.0,26288,6.4,17.3,18.4,21.0,33.6,6-6.5
19.2,43000,6.3,16.6,17.0,22.4,29.3,6-6.5
22.7,29042,5.9,16.8,16.7,24.7,31.5,5.5-6
14.5,18335,5.8,15.3,17.3,28.8,34.3,5.5-6
9.2,4987,6.6,19.8,12.6,15.3,29.7,6.5-7
8.7,19031,6.5,18.6,15.7,18.2,29.4,6.5-7
6.2,4264,6.3,17.1,16.7,22.2,30.7,6-6.5
18.2,17683,6.5,19.0,11.0,14.5,27.6,6.5-7
7.4,12206,5.9,15.9,16.5,25.7,32.4,5.5-6
70.9,169155,5.6,16.4,17.9,24.0,36.1,5.5-6
2.0,6321,6.5,18.3,17.3,20.3,32.7,6.5-7
12.4,11268,5.7,15.7,15.6,25.3,31.8,5.5-6
10.9,25796,6.6,19.3,13.5,16.3,29.4,6.5-7
2.2,6858,5.8,15.2,17.2,26.1,32.7,5.5-6
1.9,733,6.4,18.6,14.9,18.4,30.6,6-6.5
6.4,8187,6.5,18.1,11.8,15.5,28.2,6.5-7
